Department,PreKnowledge,Concepts,Interpret,ChooseMethod,StatSubmitTime,StatPercentSubmit,StatLearnPerform,StatCheatBehav,ResMidterm,ResAssignment,ResParticipate,ResFinalScore
ประถมศึกษา,58.45238095333334,42.85714286,62.5,70,101.5945522,100,92.5,0.951438262,16,5,5,73.75
ประถมศึกษา,52.5,50,37.5,70,121.7914373,100,92.5,0.965722716,18.875,5,4.545454545,72.5
ประถมศึกษา,50.17857143,64.28571429,56.25,30,138.7316576,100,71.66666667,0.660427895,14.625,4.642857143,5,63.74999999999999
วิทยาศาสตร์,44.76190476333333,64.28571429,50,20,174.7746662,100,92.5,1,17.625,4.642857143,5,67.5
ไทยสังคม,60.476190476666666,71.42857143,50,60,133.5487061,77.77777778,84.44444444,1,19.25,5,5,71.25
ไทยสังคม,76.11111111000001,75,83.33333333,70,68.67374549,100,85,0.903508925,22.25,5,5,86.25
วิทยาศาสตร์,48.57142857,35.71428571,50,60,177.322896,77.77777778,63.33333333,0.79364494,16.125,4.642857143,4.545454545,61.25000000000001
วิทยาศาสตร์,28.988095236666666,35.71428571,31.25,20,149.0111513,100,95,0.998708684,14.25,5,5,53.75
คณิตศาสตร์,49.81481481333333,75,44.44444444,30,75.65671104,75,63.33333333,0.488203995,14.9375,3.571428571,4.545454545,53.75
วิทยาศาสตร์,65.77380952333333,78.57142857,68.75,50,147.348053,100,90,0.969945435,21.5,5,5,83.75
ไทยสังคม,48.51851852000001,50,55.55555556,40,150.8461899,87.5,80,0.806338141,16.25,5,5,61.25000000000001
ไทยสังคม,47.96296296333333,75,38.88888889,30,139.6777462,100,85,1,18,5,4.090909091,67.5
ภาษาอังกฤษ,64.34523809666666,64.28571429,68.75,60,152.0432353,100,78.33333333,0.438858758,17.5,5,4.090909091,71.25
ไทยสังคม,42.38095238,57.14285714,50,20,137.9445515,88.88888889,76.11111111,0.775528019,16.875,5,5,66.25
คณิตศาสตร์,38.70370370333333,41.66666667,44.44444444,30,157.8587836,100,82.5,0.637164894,13.375,2.857142857,5,48.75
คณิตศาสตร์,56.11111111333333,41.66666667,66.66666667,60,143.1842765,87.5,58.75,0.86639453,13.4375,5,4.545454545,57.49999999999999
ไทยสังคม,32.22222222,33.33333333,33.33333333,30,143.2131986,100,85,0.905055945,18.75,5,5,69.99999999999999
ภาษาอังกฤษ,37.32142857,35.71428571,56.25,20,153.2113425,88.88888889,72.5,0.716873263,15,5,5,55.000000000000014
วิทยาศาสตร์,47.20238095333334,42.85714286,68.75,30,134.7992829,100,95,0.67422965,16.5,5,5,63.74999999999999
คณิตศาสตร์,59.81481481333333,75,44.44444444,60,131.2953929,100,68.75,0.464664886,18.1875,5,5,70
ภาษาอังกฤษ,37.44047619,28.57142857,43.75,40,128.5266409,100,73.21428571,0.820974037,12.625,5,5,50
คณิตศาสตร์,54.25925925666667,58.33333333,44.44444444,60,113.5625037,87.5,76.66666667,0.784692173,15.25,4.642857143,5,56.25
ไทยสังคม,30.952380953333336,42.85714286,50,0,155.6286514,66.66666667,95,0.625247991,18.5,3.928571429,5,72.5
วิทยาศาสตร์,66.72619047666667,71.42857143,68.75,60,82.74660778,55.55555556,69.76190476,0.518876524,14.5625,1.428571429,2.727272727,58.75
วิทยาศาสตร์,66.42857142999999,64.28571429,75,60,131.0785467,100,87.5,0.651414019,19.75,4.285714286,4.545454545,75
คณิตศาสตร์,62.96296296333333,50,88.88888889,50,156.4056442,50,80,0.852462077,17,3.571428571,5,63.74999999999999
คณิตศาสตร์,52.96296296333333,50,38.88888889,70,146.8141667,37.5,45,0.390477867,11.1625,3.571428571,3.636363636,45
คณิตศาสตร์,26.48148148333333,41.66666667,27.77777778,10,88.92021382,87.5,68.75,0.261720795,15.375,5,5,58.75
คณิตศาสตร์,48.148148146666664,50,44.44444444,50,136.2256797,62.5,97.5,0.496013801,17.0625,5,5,65
ไทยสังคม,49.130718953333336,33.33333333,47.05882353,67,155.3642717,100,81.25,0.758001426,16.375,5,5,62.5
วิทยาศาสตร์,31.666666666666668,50,25,20,118.4849068,100,95,0.845691697,12.375,5,5,47.49999999999999
วิทยาศาสตร์,72.67857142999999,64.28571429,93.75,60,93.37218729,100,82.5,0.610243758,22.125,5,5,86.25
ภาษาอังกฤษ,64.52380952333333,78.57142857,75,40,143.1435222,100,77.79761905,0.521751063,20.75,5,5,80
ภาษาอังกฤษ,37.738095236666666,35.71428571,37.5,40,134.2885482,77.77777778,67.14285714,0.750508214,16,3.214285714,4.545454545,62.5
คณิตศาสตร์,30.740740739999996,33.33333333,38.88888889,20,149.3819131,100,80,0.589583229,12.3125,4.285714286,4.545454545,57.49999999999999
ไทยสังคม,45.18518518666667,50,55.55555556,30,128.4060425,100,83.75,1,15.25,4.285714286,5,58.75
ไทยสังคม,42.592592593333336,66.66666667,61.11111111,0,60.51509472,100,83.75,0.979100932,19.125,5,5,71.25
วิทยาศาสตร์,38.39285714333334,21.42857143,43.75,50,121.0053173,100,95,0.955761935,9.625,5,4.545454545,42.50000000000001
ไทยสังคม,43.03571428666667,42.85714286,56.25,30,150.5767985,100,84.88095238,0.842082505,15.25,2.5,4.545454545,57.49999999999999
วิทยาศาสตร์,34.88095238,57.14285714,37.5,10,182.0336267,77.77777778,87.77777778,0.751315494,16.75,3.571428571,4.090909091,63.74999999999999
วิทยาศาสตร์,79.64285714333333,71.42857143,87.5,80,52.51617722,88.88888889,90,0.498268225,23,5,5,90
ภาษาอังกฤษ,37.738095236666666,35.71428571,37.5,40,103.4469411,100,54.46428571,0.74414462,15.875,5,5,61.25000000000001
ภาษาอังกฤษ,43.03571428666667,42.85714286,56.25,30,126.5732706,100,81.25,0.61226932,15.5,5,5,66.25
คณิตศาสตร์,46.29629629666667,50,38.88888889,50,131.1395785,100,77.5,0.895988855,19.375,5,5,73.75
วิทยาศาสตร์,41.54761904666666,57.14285714,37.5,30,124.4003001,100,95,0.796984515,18.75,5,5,71.25
วิทยาศาสตร์,78.69047619,78.57142857,87.5,70,152.5379697,88.88888889,81.54761905,0.590666404,21.75,5,5,87.5
ภาษาอังกฤษ,51.96428571333333,57.14285714,68.75,30,106.9351533,88.88888889,71.11111111,0.444261985,17.125,4.285714286,4.545454545,68.75
คณิตศาสตร์,57.222222223333326,75,66.66666667,30,115.0474262,100,83.75,0.534407752,19.375,5,5,75
วิทยาศาสตร์,64.04761904666667,57.14285714,75,60,131.8586863,100,82.5,0.727163597,19.5,3.928571429,5,72.5
คณิตศาสตร์,55,75,50,40,152.6897603,100,82.5,0.740312049,12,5,4.545454545,51.24999999999999
วิทยาศาสตร์,33.15476190333333,35.71428571,43.75,20,147.5094862,100,62.97619048,0.598206095,14.375,5,4.545454545,52.5
ไทยสังคม,46.666666666666664,66.66666667,33.33333333,40,141.5142397,100,82.5,1,15.5,5,5,62.5
คณิตศาสตร์,38.333333333333336,41.66666667,33.33333333,40,158.7418691,100,78.75,0.710695525,17.3125,5,5,66.25
คณิตศาสตร์,28.888888886666667,33.33333333,33.33333333,20,139.3734641,75,62.5,0.662205935,12.375,1.785714286,4.545454545,46.25
วิทยาศาสตร์,48.88888889,50,66.66666667,30,138.272674,100,95,0.500649253,16.0625,3.928571429,4.090909091,56.25
วิทยาศาสตร์,73.69047619,78.57142857,62.5,80,101.2562891,100,95,0.447245235,21.5,5,5,82.5
คณิตศาสตร์,50.55555555666666,41.66666667,50,60,138.7577738,100,82.5,0.723663301,14.8125,5,5,56.25
คณิตศาสตร์,46.11111111333333,41.66666667,66.66666667,30,151.4948699,100,80,0.986107368,17.6875,3.571428571,5,71.25
ภาษาอังกฤษ,50.833333333333336,50,62.5,40,86.23599944,100,75,0.550172871,19.75,5,4.545454545,81.25
คณิตศาสตร์,53.14814815,41.66666667,77.77777778,40,137.5285577,100,72.5,0.454825176,21.375,5,5,83.75
คณิตศาสตร์,43.88888889,41.66666667,50,40,149.0816163,87.5,61.66666667,1,14.5,2.857142857,5,56.25
ไทยสังคม,42.40384615333333,38.46153846,68.75,20,163.6567989,77.77777778,40,0.418712705,15.875,4.285714286,5,57.49999999999999
ไทยสังคม,46.666666666666664,66.66666667,33.33333333,40,46.56385312,100,83.75,0.978334101,18.9375,5,5,71.25
ภาษาอังกฤษ,38.57142857,35.71428571,50,30,98.44964632,100,83.33333333,0.771939889,16,5,5,65
คณิตศาสตร์,57.96296296333333,58.33333333,55.55555556,60,52.37365444,100,85,0.734873436,18.8125,5,5,72.5
ไทยสังคม,56.726190476666666,71.42857143,68.75,30,151.3844312,100,91.25,0.805404257,17.25,5,4.545454545,65
ภาษาอังกฤษ,51.726190476666666,71.42857143,43.75,40,66.75579486,100,79.64285714,0.615453866,13.625,3.928571429,5,50
คณิตศาสตร์,44.25925925666667,58.33333333,44.44444444,30,158.0918028,100,82.5,0.391981172,12.0625,3.928571429,5,48.75
คณิตศาสตร์,42.40740741,41.66666667,55.55555556,30,114.0555813,100,68.92857143,0.902128197,17.0625,5,5,66.25
วิทยาศาสตร์,59.04761904666666,57.14285714,50,70,60.56049375,100,72.08333333,0.536043037,18.875,4.285714286,5,72.5
ภาษาอังกฤษ,51.60714285666666,78.57142857,56.25,20,117.9813562,88.88888889,72.85714286,0.472516218,17.125,5,5,66.25
ไทยสังคม,53.333333333333336,50,50,60,139.1789035,100,86.96428571,0.789853425,18,4.285714286,5,66.25
วิทยาศาสตร์,30.416666666666668,50,31.25,10,123.5019201,100,95,0.811460813,11.125,3.928571429,3.636363636,47.49999999999999
ไทยสังคม,47.38095238,57.14285714,75,10,160.6916256,88.88888889,82.5,1,18.75,5,5,71.25
ไทยสังคม,55,58.33333333,66.66666667,40,139.2615038,100,76.25,1,18.5,5,5,68.75
วิทยาศาสตร์,36.488095236666666,35.71428571,43.75,30,127.9228685,100,95,0.900762743,14.375,4.285714286,4.090909091,60
คณิตศาสตร์,56.85185185333333,91.66666667,38.88888889,40,132.023319,87.5,85,0.648306667,16.625,4.642857143,5,67.5
ภาษาอังกฤษ,46.666666666666664,50,50,40,131.6380393,100,74.58333333,0.754894063,16.375,5,4.545454545,71.25
วิทยาศาสตร์,54.46428571333333,57.14285714,56.25,50,168.4284078,100,78.33333333,1,20.25,5,4.545454545,77.5
วิทยาศาสตร์,32.32142857,35.71428571,31.25,30,128.8632966,100,90,0.744942888,12.625,5,5,43.75
คณิตศาสตร์,37.407407406666664,33.33333333,38.88888889,40,65.30423597,100,70,0.535214913,15.25,4.285714286,5,55.00000000000001
ภาษาอังกฤษ,48.45238095333334,42.85714286,62.5,40,130.7760868,100,76.54761905,0.514346427,16.25,5,5,61.25000000000001
วิทยาศาสตร์,54.166666666666664,50,62.5,50,141.0595296,100,69.76190476,0.787440056,17.25,4.642857143,5,65
คณิตศาสตร์,50.84175084333333,63.63636364,38.88888889,50,83.56469431,100,78.75,0.541345631,15.75,5,5,58.75
วิทยาศาสตร์,47.5,50,62.5,30,175.1325386,100,83.21428571,1,16.25,4.642857143,4.545454545,61.25000000000001
ภาษาอังกฤษ,58.63095238,57.14285714,68.75,50,161.8933367,100,73.33333333,0.703205151,17.375,5,5,72.5
ไทยสังคม,17.306397305333334,36.36363636,5.555555556,10,134.5483081,100,85,1,14.25,5,4.545454545,60
ไทยสังคม,39.629629630000004,50,38.88888889,30,127.8443656,62.5,50,0.736375374,15,3.214285714,4.545454545,58.75
ภาษาอังกฤษ,40.95238095333334,42.85714286,50,30,105.0630329,88.88888889,95,0.685094194,13.25,5,4.545454545,51.24999999999999
คณิตศาสตร์,39.07407407666667,41.66666667,55.55555556,20,140.4472114,100,82.5,1,14.8125,4.285714286,4.545454545,54.99999999999999
คณิตศาสตร์,48.88888889,66.66666667,50,30,150.3435349,100,81.25,0.989453543,13.625,5,5,53.75
คณิตศาสตร์,38.70370370333333,41.66666667,44.44444444,30,137.931969,100,70,0.877813371,16.375,3.214285714,4.545454545,61.25000000000001
ไทยสังคม,41.666666666666664,41.66666667,33.33333333,50,43.15249778,100,69.46428571,0.964675596,17.8125,5,5,68.75
คณิตศาสตร์,46.666666666666664,50,50,40,141.0027985,87.5,70,0.584678735,18.375,5,5,68.75
คณิตศาสตร์,30.925925926666668,25,27.77777778,40,118.5238808,100,82.5,1,18.125,5,4.545454545,70
ไทยสังคม,64.07407407666666,66.66666667,55.55555556,70,53.06304104,100,83.75,1,20.25,5,5,76.25
คณิตศาสตร์,43.88888889,41.66666667,50,40,160.0081119,100,73.92857143,0.754639538,16.25,5,5,65
ไทยสังคม,49.88095238,57.14285714,62.5,30,124.3612103,88.88888889,85,0.683838712,19,3.214285714,5,70
ไทยสังคม,33.70370370333333,16.66666667,44.44444444,40,151.3374872,100,85,0.990847635,17,5,4.090909091,68.75
คณิตศาสตร์,41.48148148,50,44.44444444,30,149.9601962,100,76.25,0.648126697,16.9375,5,5,65
วิทยาศาสตร์,36.488095236666666,35.71428571,43.75,30,114.8357267,100,95,0.774118726,14.5,5,5,57.49999999999999
คณิตศาสตร์,52.222222223333326,66.66666667,50,40,149.434769,100,82.5,0.63234651099999994,18.8125,3.571428571,4.545454545,72.5
ไทยสังคม,29.52380952333333,28.57142857,50,10,170.7639481,66.66666667,61.66666667,0.548043773,14.625,5,4.545454545,55.00000000000001
วิทยาศาสตร์,46.84523809666666,64.28571429,56.25,20,119.1347428,100,95,0.497843052,16.5,5,5,68.75
ไทยสังคม,67.22222222333333,75,66.66666667,60,134.0182037,100,85,1,20.375,5,5,77.5
ไทยสังคม,69.10714285666667,78.57142857,68.75,60,142.5527349,100,82.5,0.999818576,19.25,5,5,76.25
ไทยสังคม,34.70238095333334,42.85714286,31.25,30,165.8077521,88.88888889,79.04761905,0.527925885,16.375,5,4.545454545,61.25000000000001
วิทยาศาสตร์,44.46428571333333,57.14285714,56.25,20,114.1323791,100,90,0.877269383,14.875,5,5,58.75
วิทยาศาสตร์,55.11904762,42.85714286,62.5,60,165.7885953,88.88888889,73.75,0.584588347,19.8125,5,5,77.5
คณิตศาสตร์,27.962962963333336,25,38.88888889,20,148.5003324,100,82.5,0.790159951,9.9375,5,4.545454545,45
คณิตศาสตร์,37.96296296333333,41.66666667,22.22222222,50,154.6707776,87.5,82.5,0.686912728,11.5625,4.285714286,4.545454545,50
วิทยาศาสตร์,51.54761904666666,57.14285714,37.5,60,150.8729868,100,95,0.722456393,17.6875,2.857142857,4.545454545,67.5
วิทยาศาสตร์,45.833333333333336,50,37.5,50,126.3041071,100,72.79761905,0.602621942,18.125,5,5,70
คณิตศาสตร์,70.92592592666666,75,77.77777778,60,54.94753118,75,63.33333333,0.503781088,17.875,4.285714286,4.545454545,67.5
คณิตศาสตร์,23.431372550000003,25,35.29411765,10,150.4471195,75,51.42857143,0.441865909,11.4375,5,5,40
คณิตศาสตร์,48.148148146666664,50,44.44444444,50,154.3123022,87.5,93.33333333,0.405715923,16.4375,5,4.545454545,66.25
ภาษาอังกฤษ,75.47619047666667,71.42857143,75,80,69.94702903,100,95,0.769051938,20,5,5,78.75
วิทยาศาสตร์,50.833333333333336,50,62.5,40,144.6144209,100,90,0.60837691,17.375,5,5,65
คณิตศาสตร์,40.55555555666667,41.66666667,50,30,30.01647667,100,81.25,0.499948863,19.125,5,5,76.25
คณิตศาสตร์,34.44444444333333,33.33333333,50,20,127.930615,87.5,83.75,0.65753841,16.8375,5,5,66.25
ไทยสังคม,47.59259259,58.33333333,44.44444444,40,157.7895882,100,67.5,1,16.5,5,5,60
วิทยาศาสตร์,47.32142857,35.71428571,56.25,50,141.5089467,100,82.5,0.86554994,16.875,3.928571429,5,75
ไทยสังคม,54.44444444333334,50,33.33333333,80,121.1416082,100,81.25,0.543336519,18.25,5,5,68.75
ไทยสังคม,57.79761904666666,57.14285714,56.25,60,153.1355565,100,95,0.628990941,21,4.642857143,4.545454545,80
วิทยาศาสตร์,48.21428571333333,57.14285714,37.5,50,141.7276473,88.88888889,69.46428571,0.9988254,16.0625,5,4.545454545,61.25000000000001
ไทยสังคม,50.17857143,64.28571429,56.25,30,141.1992889,100,92.5,0.787830423,14.5,5,4.545454545,55.00000000000001
ไทยสังคม,38.70370370333333,41.66666667,44.44444444,30,148.4701711,100,67.5,0.677752731,19.125,5,5,77.5
วิทยาศาสตร์,80.89285714333333,71.42857143,81.25,90,116.3728221,100,87.5,0.943017754,17.125,3.928571429,5,63.74999999999999
คณิตศาสตร์,57.40740741,66.66666667,55.55555556,50,152.7899961,100,85,0.498388881,17.5625,4.285714286,5,65
ไทยสังคม,34.07407407333333,33.33333333,38.88888889,30,157.8845994,100,76.25,0.910114326,17.5,5,5,66.25
วิทยาศาสตร์,51.13095238,57.14285714,56.25,40,138.3391609,100,84.46428571,0.866787353,18.75,4.285714286,4.545454545,73.75
ไทยสังคม,54.629629630000004,58.33333333,55.55555556,50,79.70329042,100,83.75,1,16.75,5,5,65
ไทยสังคม,52.26190476333333,64.28571429,62.5,30,180.9252615,88.88888889,90,1,19.875,5,5,76.25
ไทยสังคม,50,50,50,50,144.3746853,100,85,0.941841749,17,5,5,63.74999999999999
วิทยาศาสตร์,45.71428571333333,57.14285714,50,30,179.9659525,66.66666667,95,0.839762032,13.75,4.642857143,4.090909091,55.000000000000014
คณิตศาสตร์,67.77777777666667,83.33333333,50,70,150.5127091,100,81.25,0.71035842,17.375,5,5,70
คณิตศาสตร์,43.333333333333336,66.66666667,33.33333333,30,137.9492345,100,80,0.853508615,14.125,4.642857143,5,53.75
คณิตศาสตร์,49.07407407666667,41.66666667,55.55555556,50,158.8014301,100,72.5,0.556523759,15.875,4.642857143,5,57.49999999999999
สุขศึกษาและพลศึกษา,24.52380952333333,28.57142857,25,20,144.4797656,100,54.16666667,0.994785827,13.125,5,5,56.25
สุขศึกษาและพลศึกษา,40.11904762,42.85714286,37.5,40,171.9293401,77.77777778,77.5,0.874478395,18,5,4.545454545,67.5
สุขศึกษาและพลศึกษา,27.55952381,21.42857143,31.25,30,172.3545079,88.88888889,67.08333333,0.481183095,13.125,2.5,4.090909091,50
สุขศึกษาและพลศึกษา,44.28571428666667,42.85714286,50,40,122.4857524,88.88888889,63.33333333,0.772272231,13.375,3.928571429,4.090909091,55.00000000000001
สุขศึกษาและพลศึกษา,33.80952381,21.42857143,50,30,127.4866842,100,82.5,0.977915266,14.25,5,5,56.25
สุขศึกษาและพลศึกษา,38.273809523333334,28.57142857,56.25,30,182.7238024,88.88888889,48.63095238,0.912008099,11.25,3.571428571,3.636363636,41.25
สุขศึกษาและพลศึกษา,22.142857143333334,21.42857143,25,20,130.0486713,100,69.58333333,1,10.875,2.857142857,4.545454545,40
สุขศึกษาและพลศึกษา,36.19047619,28.57142857,50,30,180.4822547,55.55555556,100,0.690780869,11.625,4.285714286,5,45.00000000000001
สุขศึกษาและพลศึกษา,41.36904762,42.85714286,31.25,50,165.1240224,88.88888889,78.21428571,0.928521468,13.625,3.571428571,3.181818182,50
สุขศึกษาและพลศึกษา,27.67857143,14.28571429,18.75,50,144.1198297,66.66666667,75,0.78503258,7.25,2.857142857,4.090909091,22.499999999999996
สุขศึกษาและพลศึกษา,36.25,50,18.75,40,158.9533757,77.77777778,75.55555556,0.999689957,8.75,4.285714286,4.090909091,40
สุขศึกษาและพลศึกษา,34.40476190333333,35.71428571,37.5,30,138.9157424,88.88888889,77.08333333,0.927944232,10.625,5,5,46.25
สุขศึกษาและพลศึกษา,35.89285714333334,21.42857143,56.25,30,141.7865251,100,75.71428571,1,10.875,5,5,50
สุขศึกษาและพลศึกษา,22.55952381,21.42857143,6.25,40,148.0126954,88.88888889,80,0.670436483,10.5625,5,5,43.75
สุขศึกษาและพลศึกษา,22.738095236666666,35.71428571,12.5,20,182.6523462,88.88888889,81.25,0.937081042,9.4375,2.857142857,5,38.75
สุขศึกษาและพลศึกษา,44.12698412666666,35.71428571,46.66666667,50,157.4761899,77.77777778,68.33333333,1,10.875,4.642857143,5,47.5
สุขศึกษาและพลศึกษา,21.845238096666666,14.28571429,31.25,20,119.5933222,100,73.33333333,0.766698156,13.8125,5,5,48.75
สุขศึกษาและพลศึกษา,47.083333333333336,50,31.25,60,152.974948,100,85,0.680238717,17,4.285714286,5,63.74999999999999
สุขศึกษาและพลศึกษา,25.77380952333333,28.57142857,18.75,30,179.92542890000001,88.88888889,49.04761905,0.67866611,10.0625,3.928571429,2.727272727,38.75
สุขศึกษาและพลศึกษา,33.273809523333334,28.57142857,31.25,40,172.8197658,88.88888889,76.66666667,1,12.75,4.642857143,2.727272727,53.75
สุขศึกษาและพลศึกษา,26.607142856666666,28.57142857,31.25,20,145.4455883,88.88888889,67.5,1,6.6875,1.785714286,4.090909091,28.749999999999996
สุขศึกษาและพลศึกษา,31.488095236666666,35.71428571,18.75,40,111.215335,88.88888889,71.25,1,13.25,5,4.545454545,56.25
