student_id,choose_method,concepts,interpretation,research_score,submit_time,percent_submit,gender,department,learning_performance,cheat_index
111,60,57.14285714285714,56.25,72,156.41159625000427,66.66666666666667,ช,ไทยสังคม,95,0.9143358385891684
112,40,57.14285714285714,31.25,72,145.08406430555715,100,ช,ภาษาอังกฤษ,73.33333333333333,0.5934894719253224
113,40,42.857142857142854,50,71,141.08420062498914,100,ญ,ประถมศึกษา,93.21428571428572,0.839402703
114,20,50,43.75,72,150.2685323611233,88.88888888888889,ญ,ประถมศึกษา,90,0.8664957776813893
115,10,21.428571428571427,50,62,129.16880965277554,100,ช,ประถมศึกษา,95,0.9979854573005862
116,20,42.857142857142854,75,75,161.85647041665186,100,ญ,ประถมศึกษา,80,0.6053073405887904
117,20,64.28571428571429,56.25,82,130.17590791665845,100,ญ,ประถมศึกษา,78.33333333333333,0.5557233115747408
118,40,57.14285714285714,50,76,88.56262722223998,100,ญ,ประถมศึกษา,74.58333333333333,0.7373062643261358
119,50,64.28571428571429,62.5,85,129.6557163,100,ญ,ประถมศึกษา,85,0.5387097756043477
120,60,42.857142857142854,56.25,73,108.7788113194704,100,ญ,ประถมศึกษา,80,0.5843404882488119
121,20,57.14285714285714,37.5,76,124.55432180556986,100,ญ,ประถมศึกษา,92.5,0.9835540000943909
122,40,50,56.25,83,98.96194131943915,100,ญ,ประถมศึกษา,90,0.970826811
123,40,50,43.75,92,138.27414194444816,100,ช,ประถมศึกษา,77.5,0.9999999999999998
124,30,85.71428571428571,56.25,74,115.1781350000037,100,ญ,ประถมศึกษา,90,0.9848074248949736
125,50,35.714285714285715,37.5,79,145.02854402777223,88.88888888888889,ญ,ประถมศึกษา,95,0.8689634036579847
126,10,57.14285714285714,53.333333333333336,76,127.67380201387736,100,ญ,ประถมศึกษา,95,0.936028087
127,60,57.14285714285714,50,85,155.1215154166685,88.88888888888889,ญ,ประถมศึกษา,69.44444444444444,0.46191627439333593
128,40,64.28571428571429,56.25,80,175.6609259721968,100,ญ,ประถมศึกษา,86.54761904761905,0.545348199
129,30,50,18.75,73,157.23568583332832,88.88888888888889,ญ,ประถมศึกษา,92.5,0.9561551680832948
130,20,35.714285714285715,43.75,65,145.74990361109377,100,ช,ประถมศึกษา,91.66666666666667,0.8268547582469636
131,50,42.857142857142854,68.75,69,164.90338888890213,88.88888888888889,ญ,ประถมศึกษา,64.88095238095238,0.6593870842768632
132,40,42.857142857142854,50,66,154.54549347221854,88.88888888888889,ญ,ประถมศึกษา,92.5,0.9458561370294086
133,40,50,31.25,75,176.86381111111905,88.88888888888889,ญ,ประถมศึกษา,80,0.9885501062570662
134,60,57.14285714285714,62.5,77,132.20368569443622,88.88888888888889,ญ,ประถมศึกษา,86.66666666666667,0.5857849422619752
135,40,35.714285714285715,43.75,82,158.1696009722021,100,ญ,ประถมศึกษา,80,0.7453143417237729
136,40,35.714285714285715,25,73,132.2692261805468,100,ญ,ประถมศึกษา,72.14285714285714,0.6903238331069588
