ego_id,ego_name,alter_name1,alter_name2,alter_name3
124,fba5d98c,73ac0ba1,24d4a9b0,88b42e72
125,f1ee0c7d,706d55c0,f9367a0b,8d269160
126,8d269160,f1ee0c7d,706d55c0,6ca08d04
127,bfa11486,6ca08d04,2d4ea782,9856a55c
128,122eba41,84b44902,0f3ac770,6ae8677d
129,437dc98b,e6f0af42,d72ac526,31fe6232
130,94fdfaf0,25ea5a5f,NA,NA
131,3c19045a,88b42e72,159ff1fa,fba5d98c
132,425eeacc,15a26ca6,11609f79,b1ae3079
133,795d0f73,d5abf614,be29c7e0,NA
134,5d1b629d,687e1053,6e95add7,e8adb088
135,a20248cf,d5b01c65,7ed05425,baa113ec
136,d7a76f3f,0aab4bd4,fdbb4e13,4ff767ac
137,5168fa4b,40582099,ba0bec94,NA
138,9ebbcf14,b9047ecd,f180268e,8f79eca9
139,8201d175,74f31d87,b86b976d,b9086359
140,3c927d10,82090c11,98bbc1a0,366e17d7
141,15403f0c,NA,NA,NA
142,262517a2,8729bf10,7d460acd,773e8e38
143,2b0c099e,f165aece,30aba6c1,NA
144,30aba6c1,0d01d05c,640c3cee,f165aece
145,2562b233,7b9eb59a,f6650e67,8911db48
146,1ffa44d3,NA,NA,NA
147,7195e5bf,4bfcd2c2,0f0684e4,6bc107c0
148,8fd2f2dd,efb31275,7ed05425,3b278160
149,d4d21036,0828b2fa,15023c30,3a847d87
150,9dfd09ab,1f6756ce,b7afe707,5e4fb1c8
151,24d4a9b0,fba5d98c,159ff1fa,88b42e72
152,674226f1,ce11a9d5,NA,NA
153,0aab4bd4,fdbb4e13,10f597da,31f2684d
154,e6f0af42,d72ac526,NA,NA
155,e5edf935,9ece3c85,NA,NA
156,0146eadb,728df9c4,b1ae3079,93cd465f
157,ed5000bc,NA,NA,NA
158,c594e6de,NA,NA,NA
159,bb910a4a,8b796fa7,6b68ea52,d5abf614
160,4054c3ee,6ef7900b,5168fa4b,NA
161,813b5552,2d1ccfc6,d4d21036,fca9626e
162,146bdb7b,aa158f1c,74f31d87,94267bd3
163,50e88d22,ee5c61e3,dd4d5e44,6a9d2107
164,15023c30,0828b2fa,c837da42,3a847d87
165,9f7f499f,729a3e70,6b68ea52,NA
166,c2fe0998,7190de88,bd8518bb,NA
167,c0bc6e8c,30ef3ed6,d7a76f3f,a1fa7c60
168,be5e48c2,ba0e4194,e3d3f3e9,ba598990
169,a642e319,NA,NA,NA
170,0e6ad8a2,37ee4605,24dd6258,NA
171,171950cc,c594e6de,5c3f94b4,NA
172,3fe3aec2,NA,NA,NA
173,769deeb5,612020f3,080c9072,df984ebb
174,3eef1fa6,d5b01c65,1581f58a,9dfd09ab
175,366e17d7,b4fdaeee,98bbc1a0,NA
176,93cd465f,NA,NA,NA
177,25ea5a5f,94fdfaf0,a1b2d7aa,faaaeaf6
178,159ff1fa,88b42e72,fba5d98c,24d4a9b0
179,5f6e5d1e,1ee43a9f,9d8a6528,7e6090a2
180,309d7f32,d6ab7ae7,e410e6ad,NA
181,2c949eb9,822f0ca0,a78809ef,6cb3d514
182,a9b8d6d4,2651e0ad,90e02d3c,241b53bf
183,f0123e57,2cf01884,9996af0f,4a609de7
184,f4f990b3,73fbaa92,605d3895,ad3b358e
185,706d55c0,bfa11486,f1ee0c7d,f9367a0b
186,abc357ab,6763f9b7,a2940de1,0f0684e4
187,a1b2d7aa,25ea5a5f,3a8f4389,1bab0782
188,b758e628,36c46940,3f0fce8f,NA
189,7190de88,NA,NA,NA
190,6ec4fb6d,13be718c,NA,NA
191,f6650e67,c8284920,915f9245,dd4d5e44
192,d17544d5,00d90798,260439c4,c807ed3b
193,eee82bd9,74f31d87,NA,NA
194,b9086359,e06af04f,b86b976d,c837da42
195,e33d5afd,d9c07e19,0b4551aa,1ca5abfc
196,915f9245,812958ac,6914a306,674226f1
197,5cb4bec7,420c1b98,a06f0b6b,42425bd5
198,47a32364,f62d3e2d,8fdd0002,e01b743f
199,748cdd20,286a2457,a9e12aae,cdb3c549
200,0b4551aa,93f60456,2651e0ad,5744d1d8
201,a650d000,9247e1ce,9cb01b6b,NA
202,80011727,NA,NA,NA
203,2824ae58,8d269160,56f12d15,NA
204,c7299ade,a64f8b49,11976d5c,b54a102e
205,70137cae,206246c1,e03abe94,bd8518bb
206,14c5064d,a650d000,NA,NA
207,beea0a2c,1e38bee7,88da3b35,a01afb82
208,8668f63d,41b9e6b7,1cda4f63,0f0684e4
209,f65b0212,c1e473b0,7e6090a2,1ee43a9f
210,e115eef6,57f27c96,8389df78,NA
211,0d01d05c,30aba6c1,5bf35127,52fcc65c
212,96cdb7f8,95c93929,d6862f01,b62be750
213,d6862f01,96cdb7f8,b62be750,95c93929
214,90b0e11d,80ddde7a,9cb01b6b,NA
215,6533f490,bfa11486,6ca08d04,6b76a173
216,faaaeaf6,a1b2d7aa,NA,NA
217,42425bd5,bfd901d6,6e5b388e,0934a555
218,0aa26c9b,d9734fe3,efb31275,8fd2f2dd
219,2f48b4e4,020fabec,c9ad3034,81a2615b
220,fa1f0739,a2ed96ca,a9f6fb58,15c1345f
221,c163ace7,NA,NA,NA
222,9a61c4f4,9996af0f,14575e06,676b411c
223,5f1bfa2d,9996af0f,4a609de7,fa1917cd
224,19c60e69,NA,NA,6de13b57
