"student_id","choose_method","concepts","interpretation","submit_time","percent_submit","learning_performance","cheat_index","outcome","res_item_difficulty","res_item_score"
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"การออกแบบการวิจัย","Easy",100
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"การออกแบบการวิจัย","Hard",0
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"การออกแบบการวิจัย","Moderate",50
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"มโนทัศน์พื้นฐานการวิจัย","Easy",50
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"มโนทัศน์พื้นฐานการวิจัย","Hard",0
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"มโนทัศน์พื้นฐานการวิจัย","Moderate",25
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"เครื่องมือและการเก็บข้อมูล","Hard",33.333333333333336
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168,"เครื่องมือและการเก็บข้อมูล","Moderate",50
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"การออกแบบการวิจัย","Easy",100
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"การออกแบบการวิจัย","Hard",50
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"การออกแบบการวิจัย","Moderate",66.66666666666666
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"มโนทัศน์พื้นฐานการวิจัย","Easy",100
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"มโนทัศน์พื้นฐานการวิจัย","Hard",33.333333333333336
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322,"เครื่องมือและการเก็บข้อมูล","Moderate",50
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"การออกแบบการวิจัย","Easy",66.66666666666666
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"การออกแบบการวิจัย","Hard",50
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"การออกแบบการวิจัย","Moderate",50
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"มโนทัศน์พื้นฐานการวิจัย","Easy",100
