student_level,year,province,precipiration_anomaly_mean,precipiration_anomaly_sd,precipiration_anomaly_median,precipiration_anomaly_min,precipiration_anomaly_Q25,precipiration_anomaly_Q75,precipiration_anomaly_max,cmer_risk_mean,cmer_risk_sd,cmer_risk_median,cmer_risk_min,cmer_risk_Q25,cmer_risk_Q75,cmer_risk_max,high_risk_school_mean,high_risk_school_sd
m3,2017,กระบี่,0.010164156115868659,0.704192270316628,0.4176875634341703,-2.104299370212656,-0.98077269641821,0.4943517364695561,0.507569697337726,0.5636003147525841,0.24756786308578924,0.6446076139093535,0.01602769131001561,0.32413726217729755,0.7633634765740627,0.904376653557416,0.1551724137931034,0.3652311999283317
m3,2017,กรุงเทพมหานคร,0.6319771450289415,0.30931085576444856,0.5498671721158698,-0.39918241821873246,0.5498671721158698,0.5789466860258436,1.1790421094407593,0.42347001693554776,0.2924691229019195,0.4452079153397891,3.896075427365537e-4,0.15112149292943833,0.6861114685587613,0.8951986374100502,0.11000000000000001,0.31446603773522036
m3,2017,กาญจนบุรี,-0.5729986036351672,0.5665208875010299,-0.5710159095049417,-2.048783934566342,-0.983416288591844,-0.29079513909973886,0.7084827025339092,0.38391555749264317,0.22806136353128414,0.34541437206205683,0.00397338946994833,0.21030922237096655,0.5595278811786093,0.8270818445789814,0.007575757575757581,0.08703882797784887
m3,2017,กาฬสินธุ์,-0.35929075219119727,0.4578618163377377,-0.4335491164759744,-0.996634249460014,-0.7639981381802229,-0.2960823234470068,0.7031955181866412,0.4778997362034061,0.1871341924279964,0.4705307830565741,0.05856326971198924,0.3364428413394428,0.5908685220712199,0.9504752560712344,0.05820105820105823,0.23474508990161386
m3,2017,กำแพงเพชร,-1.012892341327863,0.5532782080552374,-1.0785856068426676,-1.6628194772157794,-1.6099476337430996,-0.4414798929968762,0.1876950443280132,0.24056693312120578,0.16281988433471878,0.18156999945701296,0.00572968946539043,0.11923175701537403,0.3357971283911399,0.7733125971588232,0,0
m3,2017,ขอนแก่น,-0.6936294426608951,0.47421238012161376,-0.6741160042766674,-1.8875248119746684,-1.049506092932694,-0.36745931213512456,0.6397493060194255,0.4002330498761015,0.1858439229485865,0.3841425402013331,0.00400918269728266,0.2554387798787392,0.5386734652948884,0.9021600033341736,0.019230769230769273,0.13755578096385776
m3,2017,จันทบุรี,0.011171308862775882,0.017341268038682193,0.00264359217363396,0,0,0.01586155304180392,0.05022825129904584,0.4519704717780789,0.19371109451837318,0.4955908276677985,0.00138527136422673,0.3602986888076024,0.5737329191602858,0.7924289679102516,0,0
m3,2017,ฉะเชิงเทรา,0.08144781601624718,0.11454900326614122,0.12424883216079752,-0.39918241821873246,0.01057436869453598,0.16390271476530727,0.2722899938843009,0.5927979185516613,0.16138481232398122,0.6062197921908018,0.00799539820137145,0.5127799233080165,0.7052065856442788,0.947058463651896,0.05714285714285713,0.2332286526042725
m3,2017,ชลบุรี,0.12062503165311943,0.13882256371277896,0.07930776520901972,0,0,0.22999251910615703,0.47849018342775207,0.49558639653880443,0.1926032719528863,0.5270972308585775,2.7134506779170545e-4,0.3805710850026964,0.6525597458194303,0.7944620139439377,0,0
m3,2017,ชัยนาท,-0.5677358969932106,0.40060603709086295,-0.6344621216721575,-1.2953601650806548,-1.0303400496738473,-0.05815902781994775,-0.05815902781994775,0.4336912005303993,0.1890818064671568,0.4321320437232083,0.07366330191727682,0.31116066929335706,0.5604757045414768,0.8784400668644543,0.03703703703703704,0.19062587709298617
m3,2017,ชัยภูมิ,-0.36313042995079886,0.7051380877965616,-0.5842338703731118,-1.3535191929006023,-0.975485512070942,0.07402058086175167,1.1261702659680797,0.46544556519020397,0.21245076150238412,0.43827786108982014,0.0542976428757365,0.31551230495213295,0.63878112173331425,0.9386214678962076,0.0812500000000001,0.2740764939360944
m3,2017,ชุมพร,0.44330306001317554,0.2249924061885424,0.5736595016785757,0.08459494955628766,0.2960823234470068,0.6000954234149156,0.9305444451191642,0.5050538879053796,0.22202503249992278,0.5652354900311871,0.01009037544719109,0.3665993988008802,0.6651955116560375,0.8351868330279815,0.045977011494252915,0.21064938228269572
m3,2017,ตรัง,0.1815749473780935,0.1520766954457367,0.12160523998716356,0,0.12160523998716356,0.24585407214796107,0.4943517364695561,0.547540104437283,0.18525966462413104,0.5664624518708665,3.209452398341154e-4,0.4715177268674559,0.6618141960409257,0.8903366692112722,0.06849315068493148,0.2543383094362306
m3,2017,ตราด,0.06483757646912838,0.032994059458020066,0.09252572607718967,0.00264359217363396,0.0449410669517778,0.09252572607718967,0.09252572607718967,0.4430826067439839,0.17495660741858268,0.48005575938326805,0.0393164695265034,0.316465082550819,0.5924571471411098,0.741668915866411,0,0
m3,2017,ตาก,-0.2473609196869324,0.5924387959210501,-0.37671188474284356,-1.1843292937880272,-0.7375622164438831,0.16390271476530738,0.9041085233828244,0.48492842190123026,0.23805894733452163,0.4639545373188905,0.03180767690807152,0.26876347148190577,0.6938670315910211,0.9409460252484,0.07999999999999995,0.27265992434429087
m3,2017,นครนายก,0.227829580055002,0.0743075581217047,0.1797642678071113,0.15068475389713742,0.15068475389713742,0.3172310608360787,0.35952853561422254,0.6420353016493695,0.15359308897887392,0.6959043395289997,0.15368428982039356,0.5545701670968806,0.7514160747966563,0.885918407541024,0.0909090909090909,0.2919371040605712
