"student_id","choose_method","concepts","interpretation","research_score","submit_time","percent_submit","gender","department","learning_performance","cheat_index"
6341150327,60,57.14285714285714,56.25,72,156.41159625000427,66.66666666666667,"ช","ไทยสังคม",95,0.9143358385891684
6341182427,40,57.14285714285714,31.25,72,145.08406430555715,100,"ช","ภาษาอังกฤษ",73.33333333333333,0.5934894719253224
6441001627,40,42.857142857142854,50,71,141.08420062498914,100,"ญ","ประถมศึกษา",93.21428571428572,0.839402702742112
6441002227,20,50,43.75,72,150.2685323611233,88.88888888888889,"ญ","ประถมศึกษา",90,0.8664957776813893
6441003927,10,21.428571428571427,50,62,129.16880965277554,100,"ช","ประถมศึกษา",95,0.9979854573005862
6441005127,20,42.857142857142854,75,75,161.85647041665186,100,"ญ","ประถมศึกษา",80,0.6053073405887904
6441006827,20,64.28571428571429,56.25,82,130.17590791665845,100,"ญ","ประถมศึกษา",78.33333333333333,0.5557233115747408
6441007427,40,57.14285714285714,50,76,88.56262722223998,100,"ญ","ประถมศึกษา",74.58333333333333,0.7373062643261358
6441008027,50,64.28571428571429,62.5,85,129.655716250009,100,"ญ","ประถมศึกษา",85,0.5387097756043477
6441010227,60,42.857142857142854,56.25,73,108.7788113194704,100,"ญ","ประถมศึกษา",80,0.5843404882488119
6441011927,20,57.14285714285714,37.5,76,124.55432180556986,100,"ญ","ประถมศึกษา",92.5,0.9835540000943909
6441012527,40,50,56.25,83,98.96194131943915,100,"ญ","ประถมศึกษา",90,0.970826810828894
6441013127,40,50,43.75,92,138.27414194444816,100,"ช","ประถมศึกษา",77.5,0.9999999999999998
6441015427,30,85.71428571428571,56.25,74,115.1781350000037,100,"ญ","ประถมศึกษา",90,0.9848074248949736
6441018327,50,35.714285714285715,37.5,79,145.02854402777223,88.88888888888889,"ญ","ประถมศึกษา",95,0.8689634036579847
6441020527,10,57.14285714285714,53.333333333333336,76,127.67380201387736,100,"ญ","ประถมศึกษา",95,0.936028086596471
6441023427,60,57.14285714285714,50,85,155.1215154166685,88.88888888888889,"ญ","ประถมศึกษา",69.44444444444444,0.46191627439333593
6441024027,40,64.28571428571429,56.25,80,175.6609259721968,100,"ญ","ประถมศึกษา",86.54761904761905,0.545348198579019
6441025727,30,50,18.75,73,157.23568583332832,88.88888888888889,"ญ","ประถมศึกษา",92.5,0.9561551680832948
6441026327,20,35.714285714285715,43.75,65,145.74990361109377,100,"ช","ประถมศึกษา",91.66666666666667,0.8268547582469636
6441027027,50,42.857142857142854,68.75,69,164.90338888890213,88.88888888888889,"ญ","ประถมศึกษา",64.88095238095238,0.6593870842768632
6441028627,40,42.857142857142854,50,66,154.54549347221854,88.88888888888889,"ญ","ประถมศึกษา",92.5,0.9458561370294086
6441029227,40,50,31.25,75,176.86381111111905,88.88888888888889,"ญ","ประถมศึกษา",80,0.9885501062570662
6441030827,60,57.14285714285714,62.5,77,132.20368569443622,88.88888888888889,"ญ","ประถมศึกษา",86.66666666666667,0.5857849422619752
6441031427,40,35.714285714285715,43.75,82,158.1696009722021,100,"ญ","ประถมศึกษา",80,0.7453143417237729
6441033727,40,35.714285714285715,25,73,132.2692261805468,100,"ญ","ประถมศึกษา",72.14285714285714,0.6903238331069588
6441035027,80,50,43.75,72,143.31243722223573,100,"ญ","ประถมศึกษา",87.5,0.9779420945533519
6441037227,50,71.42857142857143,50,83,95.04386868056324,100,"ช","ประถมศึกษา",90,1
6441038927,40,42.857142857142854,50,73,115.27584972222648,88.88888888888889,"ช","ประถมศึกษา",48.80952380952381,0.8478037583800738
6441039527,70,42.857142857142854,62.5,84,101.59455215276944,100,"ช","ประถมศึกษา",92.5,0.951438261983161
6441041727,70,50,37.5,83,121.79143729168507,100,"ญ","ประถมศึกษา",92.5,0.96572271638204
6441042327,30,64.28571428571429,56.25,76,138.73165756944152,100,"ญ","ประถมศึกษา",71.66666666666667,0.6604278948398661
6441103027,20,64.28571428571429,50,79,174.77466624998385,100,"ญ","วิทยาศาสตร์",92.5,0.9999999999999998
6441104627,60,71.42857142857143,50,82,133.54870611108012,77.77777777777777,"ช","ไทยสังคม",84.44444444444444,0.9999999999999998
6441106927,60,35.714285714285715,50,74,177.32289597223203,77.77777777777777,"ช","วิทยาศาสตร์",63.333333333333336,0.7936449395199162
6441109827,20,35.714285714285715,31.25,68,149.0111512500048,100,"ช","วิทยาศาสตร์",95,0.998708683903485
6441111027,50,78.57142857142857,68.75,92,147.3480529861152,100,"ญ","วิทยาศาสตร์",90,0.9699454346840716
6441114927,60,64.28571428571429,68.75,82,152.0432352777819,100,"ญ","ภาษาอังกฤษ",78.33333333333333,0.4388587577001736
6441115527,20,57.14285714285714,50,78,137.94455145834223,88.88888888888889,"ช","ไทยสังคม",76.11111111111111,0.7755280188006121
6441120627,20,35.714285714285715,56.25,69,153.21134250001774,88.88888888888889,"ญ","ภาษาอังกฤษ",72.5,0.7168732631920371
6441121227,30,42.857142857142854,68.75,76,134.7992829166684,100,"ญ","วิทยาศาสตร์",95,0.6742296499839633
6441124127,40,28.57142857142857,43.75,65,128.5266409027742,100,"ญ","ภาษาอังกฤษ",73.21428571428572,0.8209740370634881
6441126427,0,42.857142857142854,50,83,155.62865138888358,66.66666666666667,"ช","ไทยสังคม",95,0.6252479907256403
6441127027,60,71.42857142857143,68.75,72,82.74660777780745,55.55555555555556,"ช","วิทยาศาสตร์",69.76190476190476,0.5188765242151476
6441129327,60,64.28571428571429,75,85,131.07854666666853,100,"ช","วิทยาศาสตร์",87.5,0.6514140188878981
6441138027,20,50,25,63,118.48490680553849,100,"ญ","วิทยาศาสตร์",95,0.8456916967441312
6441140127,60,64.28571428571429,93.75,94,93.3721872916652,100,"ช","วิทยาศาสตร์",82.5,0.6102437575670036
6441141827,40,78.57142857142857,75,89,143.14352222224076,100,"ญ","ภาษาอังกฤษ",77.79761904761905,0.5217510627938756
6441144727,40,35.714285714285715,37.5,75,134.2885481944349,77.77777777777777,"ช","ภาษาอังกฤษ",67.14285714285714,0.7505082141406081
6441149927,50,21.428571428571427,43.75,59,121.00531729168364,100,"ญ","วิทยาศาสตร์",95,0.9557619352003626
6441150427,30,42.857142857142854,56.25,71,150.57679847222235,100,"ญ","ไทยสังคม",84.88095238095238,0.8420825045135947
6441151027,10,57.14285714285714,37.5,76,182.03362666669818,77.77777777777777,"ช","วิทยาศาสตร์",87.77777777777777,0.7513154942809143
6441153327,80,71.42857142857143,87.5,97,52.516177222232024,88.88888888888889,"ช","วิทยาศาสตร์",90,0.4982682254943155
6441154027,40,35.714285714285715,37.5,74,103.44694111110437,100,"ญ","ภาษาอังกฤษ",54.464285714285715,0.7441446200260275
6441155627,30,42.857142857142854,56.25,78,126.57327055555251,100,"ญ","ภาษาอังกฤษ",81.25,0.6122693202960077
6441159127,30,57.14285714285714,37.5,82,124.40030013889074,100,"ช","วิทยาศาสตร์",95,0.7969845146828454
6441160727,70,78.57142857142857,87.5,95,152.53796972221798,88.88888888888889,"ช","วิทยาศาสตร์",81.54761904761905,0.5906664036247677
6441161327,30,57.14285714285714,68.75,80,106.93515333334605,88.88888888888889,"ช","ภาษาอังกฤษ",71.11111111111111,0.4442619848210796
